id,nodes,edges,type,result,avgcoeff,no_of_tri,closed_tri,diameter
54,64099,1637842749,0,1,0.7346535298453936,28420335623,0.11632741410118434,8
55,1331505,490912140380,3,2,0.6327107953246313,48272138024573,0.09121129581538423,17
56,394,26681,2,0,0.8603398864045496,1501000,0.1133382465843425,12
57,6474575,6726780474042,1,3,0.7323016268653637,270298318953724,0.09825538407316749,16
58,3293,1483976,2,0,0.20352360972444705,6861221,0.02976110125919368,19
59,1746715,918424564334,3,2,0.5982022373179903,4965091784496,0.08098922875728629,18
60,1854,402196,1,0,0.027137191109700143,23283159,0.0034104460398806285,19
61,36541,137328597,0,1,0.11020086178796917,8756709705,0.014696930729821953,20
62,279218,31284410550,0,2,0.1716653344080783,2609151849420,0.023323420908887397,13
63,1734488,371855992681,0,2,0.8104741046592248,34792453108686,0.15741902571864297,18
64,91535,2360004933,3,1,0.30184733222248283,172046482786,0.04314986355908131,9
65,71567,1239513742,0,1,0.053209300264363546,15314420724,0.009819203301174315,19
66,523364,124846890904,1,2,0.5919894200009337,1428916235930,0.09159945654746268,8
67,7330113,18036695370590,1,3,0.3905290424418941,1764060033610269,0.06025791145283883,1
68,9054036,25443378912641,2,3,0.5515212128464859,1027442791789229,0.09986529449791694,8
69,8027813,23755338342334,3,3,0.8652986477246501,1481299721727961,0.11119592970651784,4
70,79867,2111183148,2,1,0.7218936764477272,101762565815,0.11580942343110477,17
71,2359,1809480,1,0,0.17589937896223218,37900732,0.024208444379186195,20
72,9646647,17676506533487,1,3,0.10228063390748077,1107428169204497,0.016258933636288303,14
73,92239,1138878432,0,1,0.19947960564026912,23336465420,0.026310853835712418,15
74,4583307,7828220357176,1,3,0.7572338757184103,416484995660374,0.13041598761976464,5
75,47163,391285261,2,1,0.017808072905132866,4394904909,0.0032179531155102224,3
76,8987378,4612768860524,0,3,0.5479834885676738,409745089078098,0.0823446292858208,15
77,23743,80737695,1,1,0.9284822882830281,4794215858,0.16644820219510909,14
78,2264,387888,3,0,0.3679264349840219,24837704,0.05357904194347612,17
79,3067370,4091673050019,0,3,0.17607552249383684,262395462833715,0.024951019150715667,3
80,2343506,2388472988997,2,2,0.9117446426245732,208564107317902,0.15156829781491205,9
81,8397010,30978407108643,1,3,0.4239738776643541,331356946149311,0.05701121868523889,13
82,1177686,209239548708,1,2,0.2672973556036221,13182881400315,0.03588860910471033,6
83,2320,787101,0,0,0.3759928064528918,32896964,0.05239150359661503,5
84,8557373,33043526389395,1,3,0.35472422421848115,2850666274610239,0.05362780980666944,7
85,2107642,17427581138,2,2,0.9966131867377206,1696040359334,0.1374547747018389,14
86,952,219938,3,0,0.9209103792651666,7834118,0.12340939521432853,15
87,5907314,15380463538153,1,3,0.04957734226078914,736352820846972,0.00892043089865052,8
88,3702998,3687406549229,0,3,0.12794289124576474,50140495936525,0.01934674116285366,6
89,4115,2019543,0,0,0.5477227429051122,182311984,0.07210982540686396,3
90,4907,696470,3,0,0.17011470555859465,30788962,0.022161930997112198,3
91,650,94700,0,0,0.21641361856084107,4249640,0.04254104934752797,10
92,68695,2034709062,1,1,0.8983649630081084,19589137166,0.17548618411351544,4
93,8399890,15411948468709,0,3,0.8701011805211244,1041831823781726,0.15944247049714314,16
94,5029525,9654586215729,3,3,0.39603747476142503,297282861422416,0.050164426838990535,14
95,1949115,1113815652497,1,2,0.06427996154098259,73435298208404,0.011677755186657666,17
96,18358,62512723,1,1,0.658764188098861,4520841911,0.08614369288380022,3
97,58218,1045414782,2,1,0.6304746805608861,16648437981,0.10153329980072771,8
98,1541,896069,2,0,0.6882084321841047,29042188,0.1261217869015265,6
99,2898,1200663,2,0,0.7049537214222545,88592737,0.10855064321041286,15
100,9635661,7365169633025,1,3,0.36121670221924596,44341218934953,0.045304522778860774,7
101,1482715,313240526898,3,2,0.6378085653870926,8667299490560,0.08504239106244461,14
102,1084,428790,1,0,0.4461292718028621,34267698,0.06849258352776787,17
103,10811,48841401,0,1,0.18175193209234997,2872737708,0.024835864369916215,12
104,22640,215700228,3,1,0.0015019189431557667,19751670206,0.0002561112394025066,16
105,6183515,12462437644636,2,3,0.8515645847885562,855235923056937,0.12960990684762116,6
106,1177868,306393560913,2,2,0.010174764302538719,14296180696761,0.001288820199000168,10
107,1395521,89126869050,0,2,0.024526078820346298,8305619099431,0.003960016677768942,18
108,811184,46151108339,1,2,0.9675571770520117,3954632013174,0.1655304207992169,19
109,5073116,4756898429790,2,3,0.8788561108193372,133486030883373,0.13916391553807198,19
110,4156,5072573,2,0,0.38831150355691424,477007909,0.05336930784642349,3
111,3622498,4126717427670,0,3,0.8827594339376497,189270295591359,0.1463027774556376,11
112,559986,103291440049,2,2,0.6933150185207843,1218808977851,0.11014005019083446,13
113,6298608,2283836734890,2,3,0.6452209426936163,36434513242908,0.1254279761009662,13
114,737961,257239300837,1,2,0.4926875189768627,7813999515794,0.09532251516280786,5
115,2347336,1568539594167,2,2,0.4939616001746874,7626333905868,0.07316751869733548,9
116,4338,3481138,0,0,0.9318053092618249,120227819,0.16590651763149977,18
117,7290627,22700758038212,3,3,0.3787043701834747,2132050182163394,0.048771999423192006,1
118,9871159,30862319268578,3,3,0.9962005032664256,224012831751725,0.12909489607008093,4
119,86943,1553605727,3,1,0.06896930367033527,140319111165,0.008993741681186692,2
120,66608,635295877,2,1,0.42016865883203536,19550173498,0.06032122921673503,8
121,301963,22185612528,3,2,0.9432809044874096,1946856193028,0.14509212210029426,19
122,4822021,952604088284,3,3,0.06418492301751444,14750951600885,0.009622941367510029,4
123,1134,89559,3,0,0.8033205500874605,722972,0.11238551941964706,2
124,1948490,230403310731,1,2,0.6973834375199373,8559832027625,0.09336431998634617,20
125,1096198,529108752327,1,2,0.2885756180062945,22842497849529,0.04495558829287728,20
126,2286070,1135653563447,3,2,0.5655580918696719,108024518914390,0.09213228841442532,15
127,4689015,5556161915827,2,3,0.8894326831625975,502628841128475,0.13582533884653297,6
128,1647058,195817546936,0,2,0.9765720135164226,4994280449836,0.1668817740470301,9
129,7431366,14993011467625,3,3,0.6087754043953152,58464800149669,0.11813477613885816,15
130,2362296,2275946182922,0,2,0.46617674214959204,109863653978047,0.08538555094732261,17
131,3867,5604822,1,0,0.40119210084296264,278233695,0.059770517377684795,19
132,2371,468557,3,0,0.08592367172963311,7918743,0.013293419282908187,1
133,8858201,37669409942252,3,3,0.9840515932291658,3728993315822568,0.15130563110244696,4
134,3892829,4147085233004,1,3,0.14414902111345684,227076077313845,0.025678134561887413,11
135,4125,7747648,1,0,0.9468081022540313,543527083,0.12291873716621854,20
136,72929,2596557091,1,1,0.06804207844972077,7059414964,0.011764291186730546,11
137,2195517,2191520858942,3,2,0.5579933571925708,121267611799776,0.08876375875797014,20
138,805,29698,0,0,0.30402868872945277,322329,0.04044653009066996,4
139,376916,57689708034,1,2,0.245506490283814,332870433755,0.04484612764367106,12
140,81592,1109749891,1,1,0.716186021371381,11152034326,0.09900202018124332,2
141,24292,38866469,3,1,0.3943373972822225,1240844199,0.056572296337790554,11
142,2657787,3009036482759,1,3,0.12097622465028979,81323907740762,0.023399376852561778,17
143,254289,18126306384,2,2,0.7597045434498372,611054514276,0.1034158011685524,4
144,5791902,12883037785611,0,3,0.16739745809915463,206742434407951,0.022047360506687718,2
145,4854,7807098,0,0,0.43375109081567886,172600383,0.0812341259246475,13
146,14646,104627577,2,1,0.9720041861112705,1349530276,0.13485317547299228,15
147,3174208,3148695248927,3,3,0.3730957456964331,27241374904583,0.05933127434268579,4
148,9505569,10970341879871,2,3,0.3500647024281891,722734039928465,0.04888222474711258,14
149,4046246,8079650668722,0,3,0.554776610103334,495738175273660,0.08547825542247758,5
150,3262808,1007460022541,3,3,0.34093197458244284,63710709661418,0.06559398071074406,18
151,1039261,192972644604,2,2,0.6454803416125655,6713510484115,0.08736030900760997,17
152,73717,366606719,0,1,0.1079893147744383,29882725977,0.01627618199620773,20
153,53937,1280570689,3,1,0.5356051399167753,60945817086,0.06929142160139941,5
154,3534969,3919237306136,3,3,0.16520402188678374,194142432425553,0.025175730057294666,7
155,841735,155769312145,3,2,0.07372161951827416,330699628711,0.009781743552956527,20
156,2492,2268543,1,0,0.3225988599896319,145668638,0.043017281250358835,5
157,1679268,965734941314,3,2,0.3632755822708119,42764791515876,0.06002870217083131,11
158,3626388,4870395554242,3,3,0.9303785443784776,205407179672054,0.12328759199648312,2
159,8581979,33013656453018,0,3,0.3170413878246001,43732584722608,0.04203053937925729,6
160,4340975,1080553630318,2,3,0.0011775107853293498,74650058101346,0.00016365004341669382,4
161,663924,113444773573,1,2,0.9439579163863943,1340599828431,0.13860665444647832,2
162,21362,29536253,3,1,0.6935550049872734,781019477,0.09504209197227437,6
163,46138,542325845,1,1,0.7246545043076934,44159086853,0.10742469831103738,11
164,7378375,5237347235100,3,3,0.015097244896454698,346242589053069,0.002385914204181712,9
165,86640,2051098769,2,1,0.19855300452985392,182009422536,0.03922685425407972,6
166,4840,8137385,1,0,0.8079669903822455,200526096,0.1263207495604709,2
167,290983,3523383260,1,2,0.028931096354087082,208824351700,0.004260691820371749,2
168,1188911,88225876385,2,2,0.2492711630366179,4159117498612,0.03885046140988831,3
169,1920,1820232,0,0,0.719111047107751,63423099,0.1334435131501848,16
170,605399,6514467444,2,2,0.4272121160610839,352526096405,0.08007359179595991,20
171,6101666,367358042626,2,3,0.4838097205994316,19980161977352,0.09606734200275069,10
172,69596,260387588,1,1,0.5281330708012436,2029985558,0.06638592262638693,18
173,2907630,748033773623,1,3,0.5325369084171213,33097890391807,0.08497179569962274,6
174,1960749,35412576106,1,2,0.4756677168375877,1161737255693,0.07687633686005099,11
175,1432096,365708224927,3,2,0.5756963669272512,27154038910520,0.0917302870398017,18
176,579815,114354746602,0,2,0.6978448945603523,421638456460,0.09372982564412147,3
177,914249,67159649874,1,2,0.014513987136805295,4951324548314,0.0026003238437777515,12
178,3058698,3607232166412,1,3,0.7752824016186678,33355685700447,0.1231109813149894,16
179,90364,2400682149,2,1,0.6493599402468307,16875094402,0.10661468799750302,17
180,843574,124930827537,2,2,0.5981550000439085,8276952113093,0.09098515134837502,10
181,959,173620,1,0,0.35315029813643795,11526475,0.04736614585460365,16
182,6808489,13148799345720,3,3,0.777378912313752,531032743228298,0.11756383394303269,7
183,1347068,203413771461,1,2,0.9028996061940102,18594767631296,0.16170047193104367,13
184,2726140,242544372073,3,3,0.7851299454295164,16140049896813,0.13413005533020994,10
185,74417,1733162712,3,1,0.8065634091111205,139789935100,0.14625508611503538,3
186,2719,676754,0,0,0.30786733100927366,8504401,0.040188002036211874,6
187,6082535,11002112154584,2,3,0.3645103442882063,676480810577230,0.052876813209429885,4
188,953,423006,0,0,0.17252372830707619,31240663,0.03147145817923598,17
189,3649,253030,2,0,0.5888171235623343,16563641,0.09176846472583015,12
190,1523681,193402996051,3,2,0.5397600031472191,6871501571901,0.0954370835968037,18
191,2673,3202836,0,0,0.1573869262633052,221726547,0.02240433212910494,13
192,80089,2261799271,0,1,0.8676889802740357,138055899343,0.12512868546141728,20
193,2497398,495985409326,0,2,0.5608049237938942,18906755747695,0.10848100965801226,4
194,943,118027,1,0,0.003914431577027644,10896344,0.0005034968263093859,20
195,1209,257333,0,0,0.8794258927613966,24470051,0.11955458742077008,14
196,27137,150254619,2,1,0.8818423074652643,13167170687,0.16341056383504987,6
197,1378112,791760832516,1,2,0.7726454524464862,38620476259680,0.15094227636285812,10
198,4476,7449726,0,0,0.87320298370366,193000161,0.12277741700790937,13
199,2422818,1673167362545,3,2,0.9792791435630837,158424946383088,0.12322386574592079,14
200,365,49361,3,0,0.8720244444424173,3316480,0.14003660772680807,15
201,2056882,953884557373,2,2,0.732451284499073,76629274822227,0.13282171659014344,10
202,67189,2152460303,1,1,0.1137932953546732,66965689875,0.015033790396035421,16
203,6829,8076046,2,1,0.6415696076556147,678141078,0.11156278874720972,2
204,620317,181417732330,0,2,0.7255264467975279,9361734081172,0.13238047815606388,12
205,4204,1786214,0,0,0.07753347712700831,170293519,0.010068162975440628,13
206,3904,1957797,1,0,0.19528312641272305,173612092,0.02939362220745375,3
207,2475814,2945943120047,1,2,0.1355371551590281,224157196726575,0.021385823735083645,18
208,46636,520041140,1,1,0.9590097534185597,31046478477,0.17425090807044163,18
209,2978751,2689667647530,0,3,0.2935614527219662,55647665025088,0.044964803764849896,16
210,268,27065,3,0,0.19846155598489013,1811402,0.03203997181953384,5
211,9155930,1183128706731,1,3,0.3666242645962169,17876195978217,0.04797713458596784,11
212,6981746,4877585164125,1,3,0.8249815254957776,175811532309602,0.1368153482865337,20
213,9762033,20586513019454,1,3,0.056245448822442645,1782665609466262,0.008620830020207368,14
214,8562511,8647009360040,2,3,0.6860238143051354,569913360977420,0.09170556090248161,1
215,7035765,19128158558219,3,3,0.5942084670141944,343226185033901,0.09541744757502789,15
216,38641,450567519,0,1,0.36988932243985184,30468297009,0.04722792351738766,3
217,6010342,4737951781872,3,3,0.3769797677459865,275666867704963,0.06499321336133096,2
218,80466,1732944194,0,1,0.7470239127754137,35069915076,0.10763550949271157,16
219,1241,582050,0,0,0.9473027873735536,2073479,0.18451514369918492,19
220,1460976,786968336455,0,2,0.8092660419990275,47510348115647,0.15047615470432138,13
221,1348920,686561608611,1,2,0.17131591729123652,63386299021218,0.026670555506047324,19
222,42052,281591060,2,1,0.9752208672293494,16351962485,0.15778303644545139,5
223,5582804,7278191526774,3,3,0.8501171874485884,152069271083205,0.10863837863240748,11
224,2181802,2297888687429,2,2,0.24809310228846526,132716416307267,0.03939073221392012,1
225,1493,387479,1,0,0.04995341674860698,38362889,0.009923994842012675,8
226,6922,20419349,0,1,0.48378438473839136,1452045522,0.0758999220124233,18
227,748741,238623620490,3,2,0.7957989322458389,12663329150674,0.1457362605144375,1
228,87711,3267276335,2,1,0.5181975352329597,58990320071,0.0792404351160452,14
229,1495,834061,1,0,0.030682753065502943,1048770,0.005551076638193156,9
230,1239445,622064136080,2,2,0.8945644592599029,45729591582200,0.15609514865554813,10
231,2189013,2289674074653,1,2,0.037932857805373255,75382631527348,0.006626753756485685,13
232,1607,348193,0,0,0.2746649206469086,25979513,0.045317087455077225,7
233,1929,867978,3,0,0.5621150126398141,42297977,0.07045130208432271,3
234,94737,3337757307,1,1,0.358350768087741,330933067993,0.06418327178544565,15
235,8442645,874872640915,0,3,0.07716043696722419,12732942867102,0.01129607823968366,10
236,635,155060,3,0,0.716771575823183,12797473,0.08997534308977766,2
237,3945629,5279402883875,1,3,0.540632230925935,198212489264363,0.09078831484648472,12
238,6921919,2253753517728,1,3,0.21522184363205432,178372899431702,0.03704549308243386,12
239,37483,626750477,3,1,0.46195343936705324,46996875712,0.07124431155846446,8
240,4805616,9894572948783,0,3,0.5016403004943388,570831567853134,0.07249505668379806,3
241,76988,1962604656,1,1,0.05303053697294979,104942660997,0.008125636749422835,14
242,5118132,11782868382563,3,3,0.8986513674414494,974111581113142,0.13447193951303565,16
243,1409,704090,1,0,0.8986808588093577,27824918,0.11780001131062129,6
244,557,108569,3,0,0.8381978915210814,8916167,0.10769334492355892,14
245,100,2194,1,0,0.8490865243777365,70690,0.12302799864198373,20
246,8115416,26732011850464,1,3,0.23045064720836916,1951998110639276,0.04377240372188056,9
247,2340118,1694946152684,0,2,0.08085332359071629,147898245791684,0.010560474080157617,17
248,4650,8795951,1,0,0.8604938406182188,52110521,0.11812331832500816,15
249,1592523,532630840301,1,2,0.899049197084448,11816539850799,0.12786642919394556,2
250,467893,23300839242,0,2,0.10285843365273528,2201538489055,0.015914445427685123,5
251,61729,439738686,3,1,0.1800239561269269,25431854956,0.024765223090352267,5
252,4155142,1793246823894,0,3,0.34745209453328807,38495172597615,0.053736356823678035,15
253,1665037,423968765024,1,2,0.029635737853461408,6073818740180,0.00488716370211218,18
254,48192,434034800,3,1,0.41652121738119585,15013205543,0.057005602900605246,8
255,3550,1471519,1,0,0.0852889709319894,103854615,0.012963850766772228,16
256,650063,38641312756,3,2,0.1037203864861066,1626135451379,0.01682144985257358,19
257,9297,18224593,0,1,0.8122819579372275,407527857,0.15840189199449436,20
258,1293,4608,3,0,0.5172781133408082,102408,0.06761271752773271,12
259,41370,356233953,1,1,0.21486299042348922,33650298591,0.03773501018997518,11
260,1213255,525474172258,2,2,0.7920751119898107,25029693373177,0.15716929143192207,18
261,2480,2560545,1,0,0.6656972192585796,24790296,0.12946884329377906,11
262,3104255,1757137276245,3,3,0.4577607182633662,91502382465417,0.05911267133124561,1
263,2396422,64417667655,0,2,0.31208752237194093,3228343756368,0.0400869140583405,15
264,666095,89945252164,3,2,0.6068625479934535,3315805202317,0.07719395405172713,20
265,14577,83096315,0,1,0.9304435353775795,8171137614,0.16260834149724318,10
266,3665,3292069,0,0,0.5065165865225467,63756465,0.06721624051627575,5
267,66118,1411736023,3,1,0.4792305099006353,131560456623,0.06304897991554284,11
268,3297877,1095497924557,0,3,0.3917265763323059,97908027366160,0.07614325820870853,18
269,153048,4391140486,3,2,0.10471997544036915,301809687006,0.01512205052140331,7
270,2178315,1959693830969,1,2,0.603921988867286,68278013159724,0.07931765864602527,13
271,4269044,9007968617742,0,3,0.5270174423119844,776562692458733,0.08021314902319948,14
272,1367820,768437129839,2,2,0.7992817575660698,24437366478120,0.13543441808614326,15
273,3310,3341350,0,0,0.4818303962523023,57777910,0.07530364210856967,12
274,32009,321191609,3,1,0.41152277319771224,26118270682,0.07018299934289438,11
275,69542,1555617685,3,1,0.4659145908759639,42090518648,0.09194634084275774,13
276,3275,4764191,0,0,0.6762538435474779,430411783,0.1133227252435157,16
277,1807,343127,0,0,0.16150772184196527,4488978,0.023865726961101594,7
278,7104278,12439714444590,3,3,0.16511566513953824,742769914469756,0.021320153914486956,12
279,68503,2070567348,2,1,0.6753667321936004,51332796042,0.09055138951983475,4
280,332,38691,0,0,0.6163330173755358,552268,0.11887398353005416,10
281,4856,9477230,3,0,0.6950958069398137,253455335,0.1352233772361468,14
282,4066,3956330,1,0,0.6690884436172945,31145298,0.10809069570125047,2
283,4769675,5383727752061,2,3,0.3294024959585933,6288971057740,0.045775318712051254,8
284,3897,4940993,3,0,0.5325656015723206,146715059,0.10450570042013312,4
285,493323,70760403927,3,2,0.3634221378764847,1029591619535,0.06167062712236066,6
286,9078411,29401536486886,0,3,0.570278767046357,1067034550007212,0.09257919916966499,19
287,2510,1441799,0,0,0.5802107931315917,47838457,0.09460481101517108,15
288,64602,757174981,0,1,0.36121151557475906,14717710599,0.05270156694880892,3
289,1250057,543146378767,3,2,0.8675810543024662,34594492877608,0.11376186798266047,7
290,1110111,488202600669,2,2,0.6699578338194064,13524272684281,0.08976409398139977,1
291,86550,1753830256,3,1,0.6536455122368163,111935705287,0.10614485364608589,11
292,3685,3022563,3,0,0.7265433087363418,268173568,0.12923562250511808,9
293,7749154,29179250925321,0,3,0.8256792709840062,65466485770335,0.13630761312559686,3
294,632767,194289760593,1,2,0.33950103833606116,5869574095254,0.05301624087721881,14
295,17187,117128871,2,1,0.9320015621774074,6465729344,0.1504634406362471,15
296,1751,1117926,2,0,0.3945214328467648,14724007,0.061818304577697755,15
297,2418756,2566129021219,1,2,0.6088895510304783,217460337131767,0.08654903377488365,6
298,3413,537229,0,0,0.8125280949305288,52146827,0.11278821681045902,18
299,2034543,834754027470,2,2,0.760885494381985,44776325000294,0.13257816118794163,6
300,355562,34966004436,2,2,0.8411350510906496,741823594192,0.13393343697383048,16
301,4274,2417681,3,0,0.5487646596738941,12081107,0.08015057161414824,13
302,2396,2134062,1,0,0.31229267171998576,119387613,0.050187476155844325,19
303,18629,26449835,3,1,0.24740950926188165,2164326983,0.03240652760769531,12
304,59751,876726349,1,1,0.4441181711169512,32299363721,0.0583728217687605,13
305,75609,2481443997,2,1,0.14589665214341008,236109895055,0.02899934126596574,10
306,27,205,0,0,0.7771907524382302,354,0.14026520009452953,15
307,1544,983114,0,0,0.5325864669729868,83957997,0.10430027280492798,5
308,1354346,627562537742,3,2,0.10007536058350364,24115768168873,0.012612814515026627,17
309,3517970,1291966817936,2,3,0.25998581204947024,121861858724014,0.03302095028382721,19
310,47525,510080828,3,1,0.36359003264277634,13729265023,0.05353008765174593,17
311,1988308,1466388454389,0,2,0.11341261991226326,145260136814680,0.020852724896546455,11
312,4725,7814518,1,0,0.24265596327399774,301587092,0.03538091288572944,16
313,4399,4538488,2,0,0.10148820155136484,35560406,0.012908033974111636,16
314,51972,1031830507,2,1,0.6506977912225359,71763405485,0.10413841795765658,18
315,7225089,21913187041174,3,3,0.421239637478916,254742337991167,0.08284572440122316,17
316,9280029,19203449866844,0,3,0.8465226676325822,1819827878198075,0.12869864195870445,12
317,2678957,988237548633,2,3,0.3225283818463075,54099754144505,0.05980080711360497,10
318,7398264,1652191689069,2,3,0.6141369286884794,140478826287597,0.12000605227504446,5
319,2038187,838524405091,0,2,0.12745761204836425,65609232270153,0.017892160304553494,6
320,2244,1648949,0,0,0.03716566966977641,43953168,0.005503746358500278,18
321,2302577,1814834380739,2,2,0.008520850875073926,111399638097301,0.0014366148661956524,10
322,3039,4487613,3,0,0.6015734339009191,46082681,0.0901384457754125,14
323,1551706,373325154953,0,2,0.4319015718673188,7950270292813,0.06828877166895857,19
324,7065582,14919792386583,0,3,0.7450157340970691,567534478493389,0.09377879344850011,6
325,53450,783895453,0,1,0.3732420450931604,75662353542,0.04987205755100323,10
326,33772,385565196,3,1,0.9457143046296373,4840506405,0.1271985224386118,20
327,4392,2519834,3,0,0.16437742938423894,110602489,0.024240137355589657,15
328,94936,3334759881,3,1,0.3946632617753941,258385995268,0.06390021442262427,8
329,1362898,335540547173,2,2,0.9674282987345061,21364627328540,0.1601966363091056,18
330,72851,495593793,0,1,0.7900377694487296,1437639112,0.1137772552697847,19
331,2940,484706,3,0,0.516281343689325,46673796,0.09141167763005445,2
332,4124,2788942,3,0,0.2879511770276916,34888816,0.04056537833962976,15
333,1742088,1241107750673,2,2,0.58686841131644,119817978738964,0.07440414138488609,1
334,4656,9876658,2,0,0.2815885631984326,962283622,0.03825943872670779,7
335,1470906,25015251272,2,2,0.9785419704080099,1266862981141,0.16952455974374583,18
336,9392431,21632701241494,3,3,0.8271538615185113,2076632158825779,0.1075529047740733,15
337,5750,7227872,3,1,0.6479078524653328,274946526,0.1112167210229104,18
338,5734725,11082857780774,2,3,0.6346176683421875,632169530739358,0.08407487382226121,11
339,2311349,588111570558,1,2,0.5398402294058291,34423718578798,0.07106266510290829,2
340,56597,1267824793,3,1,0.6898006230609243,83450036620,0.10474883866285191,9
341,206057,10493584156,3,2,0.26876993550860373,176492503901,0.04923802973928063,7
342,3094,185254,0,0,0.36250002969775263,14763657,0.05392673485473371,5
343,3553,1641433,3,0,0.9847778555200842,10637034,0.1467383227574985,12
344,47665,123157120,3,1,0.4240881496395593,582240762,0.0603165398329827,11
345,1418270,414446055586,2,2,0.708281097195942,2408396346165,0.11184136567465314,8
346,4124345,6431320340328,0,3,0.9403944767970164,521340193753104,0.1287236709835609,10
347,1586666,669891541726,3,2,0.4826210033705829,7913832486846,0.06054012406318331,14
348,1179326,460401187795,2,2,0.07375254537588749,11117326249577,0.01094011729692094,8
349,4471,8141785,1,0,0.9808593975458939,509125740,0.1865867993107879,20
350,1927133,813180023149,1,2,0.8635235060520217,32977939242771,0.1268407036784738,18
351,8719496,8140039222294,2,3,0.7950707924318109,113659398159396,0.12123339241020695,18
352,45832,353925522,0,1,0.24971510190139024,7997291187,0.04148112013890878,17
353,93044,1854293745,0,1,0.3650404379462082,147683533814,0.05534236858557381,10
